,,,General Data,,,,,,,,,Time to Reach,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Tank11,Tank12,Tank13,Tank14,Tank15,Tank16,Average Time
5,16,10,15,0,0,6,,,#N/A,3.56,2.76,4.06,3.07,8.22,3.39,3.9,2.76,2.76,3.56,3.9,3.56,3.56,3.07,2.91,4.07
6,16,5.03,16,0,0,8,,,3.18,2.89,3.18,3.03,3.84,3.84,4,4.85,4.17,3.34,3.84,4,2.89,3.34,3.03,3.34,3.55
7,16,5.82,16,0,0,9,,,5.65,4.44,4.11,3.62,3.96,3.79,4.44,3.16,3.01,2.88,4.11,3.01,4.11,3.62,3.96,3.16,3.81
8,16,6.58,16,0,0,0,,,3.58,6.41,3.58,3.58,4.09,4.09,4.26,4.43,4.95,4.26,4.26,3.13,6.23,2.97,4.26,3.13,4.2
9,16,4.54,16,0,0,0,,,4.37,3.04,3.52,3.84,4.02,3.19,3.52,3.19,2.89,4.02,3.04,3.84,3.35,3.19,3.35,3.35,3.48
10,16,4.51,16,0,0,0,,,3.13,2.83,2.83,2.83,2.98,4.33,4.33,3.13,2.98,2.98,3.99,4.16,2.98,2.98,2.98,3.13,3.29
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Tank11,Tank12,Tank13,Tank14,Tank15,Tank16,Average Time
1,15,10,1,10,1,10,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.85,#N/A,#N/A,#N/A,#N/A,#N/A,8.61
2,16,10,3,4,0,14,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.83,3.06,#N/A,2.75,#N/A,#N/A,8.67
3,16,10,8,0,0,1,,,#N/A,#N/A,#N/A,4.86,#N/A,5.82,#N/A,#N/A,3.63,5.47,3.1,6.42,3,#N/A,3.2,#N/A,7.24
4,16,10,14,0,0,0,,,#N/A,#N/A,3.72,2.96,2.96,3.41,4.38,4.21,2.96,5.33,3.41,3.41,3.72,4.04,3.41,4.21,4.51
5,16,5.06,16,0,0,0,,,3.31,3.47,3.99,3.8,3.99,4.16,4.89,3.99,3.16,3.16,3.16,3.31,3,3.47,3.31,3.16,3.58
6,16,6.15,16,0,0,0,,,2.9,3.05,3.36,4.04,3.36,2.9,3.36,3.19,3.05,3.19,3.36,3.52,3.86,3.36,3.05,5.99,3.47
7,16,4.99,16,0,0,0,,,4.63,3.76,3.76,4.27,3.6,2.95,3.76,3.92,2.95,3.92,3.6,3.76,3.45,3.27,4.81,3.76,3.76
8,16,6.83,16,0,0,0,,,5.78,5.24,3.37,2.9,6.65,4.04,3.86,3.06,3.21,3.21,3.53,3.86,3.37,3.21,3.53,3.86,3.92
9,16,4.28,16,0,0,0,,,3.08,4.11,3.08,3.42,3.08,3.08,2.77,3.08,3.25,3.08,3.42,3.75,3.59,3.08,3.08,3.08,3.25
10,16,4.1,16,0,0,0,,,3.07,3.22,3.22,3.39,3.07,2.9,2.9,2.9,3.07,3.92,3.07,3.57,3.07,3.92,3.74,3.39,3.28
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Tank11,Tank12,Tank13,Tank14,Tank15,Tank16,Average Time
1,15,10,1,13,1,13,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.36
2,16,10,1,6,0,12,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.31,#N/A,#N/A,#N/A,9.68
3,16,10,6,0,0,6,,,#N/A,#N/A,8.18,#N/A,#N/A,#N/A,#N/A,#N/A,6.74,2.74,2.74,#N/A,2.96,9.88,#N/A,#N/A,8.36
4,16,10,12,0,0,0,,,#N/A,7.96,#N/A,#N/A,2.96,#N/A,4.06,3.83,4.18,4.06,6.92,7.64,5.52,5.45,4.06,4.67,6.34
5,16,5.23,16,0,0,0,,,3.37,3.84,3.84,5.05,3.68,3.54,4.54,4.36,4.18,3.04,4.18,3.21,3.04,3.84,2.71,3.21,3.73
6,16,6.32,16,0,0,0,,,2.94,2.79,4.57,3.09,2.94,3.09,4.4,5.46,3.23,3.88,4.23,3.88,3.09,2.94,6.15,3.09,3.74
7,16,6.25,16,0,0,0,,,5.92,3.53,3.53,3.05,3.36,2.89,3.05,3.19,3.05,2.89,6.07,2.73,4.2,3.7,3.05,4.2,3.65
8,16,7.28,16,0,0,0,,,7.11,3.33,3.33,4.17,2.84,5.21,3.48,3.99,4.86,3.65,3.16,3.48,3.33,3,2.84,2.84,3.79
9,16,7.33,16,0,0,0,,,3.89,4.23,6.12,4.23,3.72,4.23,3.89,3.72,3.25,3.72,2.93,4.57,3.09,2.93,4.23,7.15,4.12
10,16,8.65,16,0,0,0,,,3.58,5.83,6.17,4.1,2.94,3.58,4.27,3.42,3.25,3.25,3.25,3.1,8.47,2.8,3.42,6.17,4.22
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Tank11,Tank12,Tank13,Tank14,Tank15,Tank16,Average Time
1,15,10,3,10,1,10,,,#N/A,6.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.39,3.54,#N/A,#N/A,#N/A,#N/A,#N/A,7.03
2,16,10,3,8,0,15,,,#N/A,#N/A,#N/A,5.08,#N/A,4.56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.11,#N/A,#N/A,#N/A,8.25
